"Name","Alerts","WWN","Node Affinity","Logical Used","Provisioned","Host Mappings","Storage Protocol","Protection Policy","Performance Policy","Volume Group"
"PST1_MES_DATA-026","","naa.68ccf098003959ea0efbcb078556be67","System select Node A","474.4 GB","500.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"PST1_MES_DATA-008","","naa.68ccf0980044d758e65a4f7c88becd78","System select Node A","474.4 GB","500.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"PST1_MES_DATA-020","","naa.68ccf09800084f5071c7f06b44bc3f2f","System select Node A","474.4 GB","500.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"PST1_MES_DATA-009","","naa.68ccf09800097b43ea6ce831f7ee7418","System select Node A","474.4 GB","500.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"PST1_MES_DATA-002","","naa.68ccf09800321dec3596603fea420a9e","System select Node A","474.4 GB","500.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"PST1_MES_DATA-021","","naa.68ccf098000ae1f402c50bf649e0dacd","System select Node A","474.4 GB","500.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"PST1_MES_DATA-018","","naa.68ccf098007f72fb10ade2d6c5bcfa11","System select Node A","474.3 GB","500.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"PST1_MES_DATA-025","","naa.68ccf09800ed1656b4de5172ba0e12c5","System select Node B","474.3 GB","500.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"PST1_MES_DATA-028","","naa.68ccf0980060623194f53e7a26cd7696","System select Node B","474.3 GB","500.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"PST1_MES_DATA-023","","naa.68ccf0980048dbaa67f9050fddeb0655","System select Node B","474.3 GB","500.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"PST1_MES_DATA-019","","naa.68ccf098005999ae68d5e6b58a60f471","System select Node B","474.2 GB","500.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"PST1_MES_DATA-024","","naa.68ccf0980081fc1e1e13e00018006536","System select Node B","474.2 GB","500.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"PST1_MES_DATA-017","","naa.68ccf09800587dba013d4056d6b8db07","System select Node B","474.2 GB","500.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"PST1_MES_DATA-006","","naa.68ccf09800d3f70ae05e871cc0d4da1a","System select Node B","474.2 GB","500.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"PST1_MES_DATA-012","","naa.68ccf098006491cbf44dbcb6511ec850","System select Node B","474.2 GB","500.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"PST1_MES_DATA-016","","naa.68ccf098000acef5d2704cfaeb520d3a","System select Node B","474.2 GB","500.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"PST1_MES_DATA-013","","naa.68ccf09800e0edcc27399675f38bbdbe","System select Node B","474.2 GB","500.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"PST1_MES_DATA-011","","naa.68ccf09800ae0e4f0e3530d0c995026b","System select Node B","474.2 GB","500.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"PST1_MES_DATA-003","","naa.68ccf0980035c46b618cc46f93be9be6","System select Node B","474.2 GB","500.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"PST1_MES_DATA-007","","naa.68ccf0980082d40a0e0c7b7a529edccb","System select Node B","474.2 GB","500.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"PST1_MES_DATA-001","","naa.68ccf098006f236a87c4f74da90083ba","System select Node B","474.2 GB","500.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"PST1_MES_DATA-015","","naa.68ccf09800269805f1cf8ebf91f86121","System select Node B","474.2 GB","500.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"PST1_MES_DATA-005","","naa.68ccf0980039c2f00ccfd14ce9565f60","System select Node B","474.2 GB","500.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"MESDBBackup","","naa.68ccf09800cae6c46b75b7c99910bf07","System select Node A","469.0 GB","12.0 TB","1","SCSI","","Medium",""
"PST1_MES_FRA-003","","naa.68ccf098001a7e3c9a241cc540ff11fe","System select Node A","400.1 GB","600.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
